Water Source,Wetland Area (HA),Mean Flow,Benefit from Environment ($M)
Backwater Boggy Cowal Water Source,2646.6,145.9,8.83
Bell River Water Source,,305.0,0.00
Bulbodney Grahway Creek Water Source,1076.5,149.8,3.59
Burrendong Dam Tributaries Water Source,6473.5,399.8,21.59
Campbells River Water Source,144.7,228.3,0.48
Coolbaggie Creek Water Source,184.6,68.4,0.62
Cooyal Wialdra Creek Water Source,4.7,77.6,0.02
Ewenmar Creek Water Source,13939.9,91.0,46.49
Fish River Water Source,298.7,257.2,1.00
Goolma Creek Water Source,1412.7,10.1,4.71
Lawsons Creek Water Source,743.3,47.3,2.48
Little River Water Source,,97.5,0.00
Lower Bogan River Water Source,245215.4,156.0,817.79
Lower Macquarie River Water Source,237878.2,231.6,793.32
Lower Talbragar River Water Source,,94.5,0.00
Macquarie River above Burrendong Water Source,1.3,565.6,0.00
Marra Creek Water Source,46236.6,4.9,154.20
Marthaguy Creek Water Source,29652.5,204.5,98.89
Maryvale Geurie Creek Water Source,4.5,29.9,0.02
Molong Creek Water Source,27.4,70.0,0.09
Piambong Creek Water Source,1092.5,4.7,3.64
Pipeclay Creek Water Source,65.6,17.5,0.22
Queen Charlottes Vale Evans Plains Creek Water Source,13.2,72.2,0.04
Summerhill Creek Water Source,304.4,193.5,1.02
Turon Crudine River Water Source,19.9,291.4,0.07
Upper Bogan River Water Source,4412.4,106.6,14.72
Upper Cudgegong River Water Source,90.4,151.4,0.30
Upper Talbragar River Water Source,,55.1,0.00
Wambangalong Whylandra Creek Water Source,7.6,45.5,0.03
Winburndale Rivulet Water Source,24.8,171.0,0.08
